,Year,JMTAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.75,353.0,353.0
1,2009,19.16,5.93,13.97,13.23,5.19,0.75,353.0,18.0
2,2010,9.89,6.54,7.72,3.35,2.17,0.71,572.0,15.0
3,2011,6.5,7.84,5.86,-1.35,0.63,0.72,455.0,43.0
4,2012,8.37,4.21,7.01,4.16,1.36,0.7,418.0,28.0
5,2013,0.07,-2.02,-1.42,2.1,1.5,0.69,432.0,12.0
6,YTD,4.84,5.87,5.34,-1.02,-0.5,0.72,406.0,74.0
