,Year,BAPGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.62,34.0,34.0
1,2008,-35.77,-22.19,-37.04,-13.57,1.28,0.5,67.0,38.0
2,2009,28.03,21.77,30.06,6.25,-2.03,0.63,37.0,67.0
3,2010,13.93,12.33,14.28,1.6,-0.35,0.56,115.0,65.0
4,2011,-3.13,0.59,-3.51,-3.72,0.38,0.6,94.0,36.0
5,2012,13.65,12.04,14.64,1.61,-0.99,0.67,76.0,71.0
6,2013,18.9,14.31,20.0,4.59,-1.1,0.51,104.0,74.0
7,YTD,5.22,5.81,6.47,-0.58,-1.25,-1.25,-1.25,82.0
