,Year,JSOAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,18.68,5.93,19.0,12.75,-0.32,1.0,60.0,48.0
1,2010,5.06,6.54,5.44,-1.49,-0.39,0.91,60.0,56.0
2,2011,-0.28,7.84,-1.29,-8.12,1.02,0.88,97.0,40.0
3,2012,7.82,4.21,7.5,3.6,0.31,0.88,206.0,46.0
4,2013,2.78,-2.02,0.29,4.81,2.5,0.91,325.0,26.0
5,YTD,0.04,5.87,1.86,-5.83,-1.83,0.9,216.0,78.0
