,Year,PATHX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,1.24,4.0,4.0
1,2011,-3.85,-13.71,-7.93,9.85,4.08,1.27,35.0,24.0
2,2012,9.53,16.83,15.84,-7.3,-6.32,1.26,32.0,92.0
3,2013,19.11,15.29,25.19,3.83,-6.08,1.24,29.0,81.0
4,YTD,3.02,-0.27,4.54,3.29,-1.52,1.24,61.0,68.0
