,Year,VSTCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.4,35.0,35.0
1,2007,-4.28,5.49,-1.1,-9.77,-3.18,0.38,73.0,69.0
2,2008,-36.13,-37.0,-36.56,0.87,0.43,0.38,99.0,53.0
3,2009,24.11,26.46,31.8,-2.35,-7.69,0.43,76.0,81.0
4,2010,27.24,15.06,25.61,12.18,1.64,0.43,66.0,31.0
5,2011,0.8,2.11,-4.07,-1.31,4.87,0.38,64.0,10.0
6,2012,17.3,16.0,15.46,1.29,1.84,0.38,66.0,27.0
7,2013,41.91,32.39,37.39,9.52,4.52,0.38,64.0,18.0
8,YTD,8.25,13.98,1.83,-5.72,6.42,0.38,64.0,4.0
