,Year,TRGSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.75,128.0,128.0
1,2007,19.96,16.65,11.28,3.3,8.68,0.75,138.0,9.0
2,2008,-53.72,-45.53,-41.91,-8.19,-11.81,0.75,168.0,97.0
3,2009,43.57,41.45,35.27,2.13,8.3,0.75,91.0,19.0
4,2010,12.44,11.15,13.74,1.29,-1.3,0.75,89.0,52.0
5,2011,-11.31,-13.71,-7.93,2.4,-3.38,0.75,82.0,73.0
6,2012,16.17,16.83,15.84,-0.66,0.33,0.75,103.0,49.0
7,2013,32.3,15.29,25.19,17.02,7.12,0.75,160.0,13.0
8,YTD,8.6,-0.27,4.54,8.88,4.07,4.07,4.07,14.0
