,Year,CGPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.18,24.0,24.0
1,2013,29.7,15.29,25.19,14.41,4.51,0.39,0.39,22.0
2,YTD,7.27,-0.27,4.54,7.54,2.73,2.73,2.73,22.0
