,Year,JNABX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,20.96,14.31,21.02,6.65,-0.06,0.27,49.0,70.0
1,YTD,8.13,5.81,6.68,2.32,1.45,0.21,23.0,22.0
