,Year,FILFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,12.1,16.65,12.71,-4.55,-0.61,-0.61,16.0,51.0
1,2008,-41.94,-45.53,-43.99,3.58,2.05,2.05,2.05,27.0
2,2009,31.66,41.45,31.24,-9.79,0.42,0.42,18.0,42.0
3,2010,11.78,11.15,10.24,0.63,1.55,1.55,9.0,33.0
4,2011,-12.43,-13.71,-13.97,1.28,1.54,0.03,15.0,29.0
5,2012,20.01,16.83,18.29,3.18,1.72,0.14,18.0,23.0
6,2013,22.2,15.29,19.44,6.91,2.76,0.17,25.0,22.0
7,YTD,-1.92,-0.27,-1.63,-1.65,-0.29,0.17,11.0,51.0
