,Year,RDLAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,1.38,21.0,21.0
1,2008,-40.77,-37.0,-40.67,-3.77,-0.1,1.13,70.0,52.0
2,2009,35.4,26.46,35.68,8.94,-0.28,1.22,58.0,43.0
3,2010,15.85,15.06,15.53,0.79,0.32,1.21,98.0,46.0
4,2011,1.54,2.11,-2.46,-0.57,4.01,1.23,57.0,17.0
5,2012,13.54,16.0,15.34,-2.46,-1.8,1.19,65.0,68.0
6,2013,35.13,32.39,33.92,2.74,1.21,1.22,96.0,36.0
7,YTD,16.61,13.98,10.79,2.63,5.82,1.26,105.0,4.0
