,Year,FSSNX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,16.38,16.0,15.46,0.38,0.92,0.11,7.0,34.0
1,2013,39.02,32.39,37.39,6.64,1.63,0.06,11.0,33.0
2,YTD,2.23,13.98,1.83,-11.74,0.41,0.05,9.0,50.0
