,Year,LINIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.22,0.22,0.22
1,2012,13.38,12.04,13.59,1.33,-0.21,0.18,2.0,56.0
2,2013,15.34,14.31,16.65,1.03,-1.32,0.19,12.0,74.0
3,YTD,7.54,5.81,6.17,1.73,1.37,1.37,1.37,15.0
