,Year,TAIAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.19,45.0,45.0
1,2013,11.52,14.31,7.23,-2.79,4.29,0.45,2.0,14.0
2,YTD,10.2,5.81,4.98,4.39,5.22,5.22,5.22,2.0
