,Year,AAETX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.35,0.35,0.35
1,2008,-35.19,-22.19,-36.04,-13.0,0.85,0.26,2.0,40.0
2,2009,31.07,21.77,28.87,9.3,2.2,0.3,0.3,29.0
3,2010,12.69,12.33,13.47,0.36,-0.78,0.38,1.0,72.0
4,2011,-2.15,0.59,-2.26,-2.74,0.1,0.38,2.0,36.0
5,2012,16.11,12.04,13.59,4.07,2.52,0.37,4.0,8.0
6,2013,25.19,14.31,16.65,10.88,8.54,0.36,2.0,1.0
7,YTD,8.08,5.81,6.17,2.27,1.91,1.91,1.91,4.0
