,Year,BSTAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-2.07,14.31,10.07,-16.38,-12.14,1.24,59.0,88.0
1,YTD,9.61,5.81,3.26,3.8,6.34,1.25,77.0,2.0
