,Year,PFZAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.84,20.0,20.0
1,2013,8.14,14.31,22.0,-6.17,-13.86,0.75,6.0,97.0
2,YTD,6.64,5.81,6.65,0.83,-0.01,0.71,31.0,54.0
