,Year,FFGAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,1.48,25.0,25.0
1,2010,17.72,11.76,18.06,5.95,-0.35,1.36,54.0,37.0
2,2011,-18.29,-5.54,-13.97,-12.75,-4.33,1.31,71.0,72.0
3,2012,7.22,15.83,4.34,-8.61,2.88,1.33,91.0,30.0
4,2013,-3.43,26.68,8.75,-30.1,-12.18,1.34,65.0,88.0
5,YTD,-8.44,6.66,-10.45,-15.1,2.01,2.01,2.01,27.0
