,Year,FEMGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,1.21,9.0,9.0
1,YTD,1.25,5.87,3.43,-4.62,-2.18,1.25,6.0,70.0
