,Year,JSAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-33.8,-22.19,-38.11,-11.6,4.31,0.44,37.0,6.0
1,2009,33.88,21.77,30.88,12.11,3.0,0.44,60.0,23.0
2,2010,16.26,12.33,14.6,3.93,1.67,0.3,42.0,7.0
3,2011,-5.03,0.59,-4.1,-5.62,-0.93,0.29,11.0,76.0
4,2012,18.13,12.04,15.31,6.08,2.82,0.29,11.0,2.0
5,2013,22.75,14.31,22.0,8.44,0.75,0.29,11.0,57.0
6,YTD,8.47,5.81,6.65,2.66,1.82,0.29,8.0,10.0
