,Year,FKTHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.72,12.33,14.28,2.38,0.44,0.05,19.0,40.0
1,2011,-4.53,0.59,-3.51,-5.12,-1.02,0.05,37.0,75.0
2,2012,14.6,12.04,14.64,2.55,-0.05,0.05,17.0,55.0
3,2013,20.86,14.31,20.0,6.55,0.86,0.05,26.0,49.0
4,YTD,7.05,5.81,6.47,1.24,0.58,0.05,50.0,33.0
