,Year,FTAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-19.88,-22.19,-18.61,2.32,-1.26,0.98,24.0,56.0
1,2009,23.2,21.77,20.77,1.42,2.42,0.89,12.0,29.0
2,2010,10.62,12.33,10.03,-1.72,0.58,0.89,20.0,41.0
3,2011,1.48,0.59,1.7,0.89,-0.22,0.89,21.0,55.0
4,2012,8.24,12.04,9.4,-3.8,-1.15,0.88,21.0,69.0
5,2013,7.72,14.31,7.23,-6.58,0.5,0.87,20.0,46.0
6,YTD,4.99,5.81,4.98,-0.82,0.01,0.85,13.0,48.0
