,Year,TAPRX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,1.15,4.0,4.0
1,2010,15.66,11.15,18.77,4.51,-3.1,1.09,21.0,69.0
2,2011,-17.58,-13.71,-20.95,-3.87,3.37,0.98,63.0,40.0
3,2012,22.04,16.83,23.62,5.21,-1.58,1.01,50.0,57.0
4,2013,4.73,15.29,2.21,-10.56,2.52,0.98,34.0,26.0
5,YTD,7.85,-0.27,8.16,8.12,-0.32,-0.32,-0.32,35.0
