,Year,PFYAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.89,0.89,0.89
1,2009,37.84,21.77,32.02,16.06,5.81,0.96,227.0,9.0
2,2010,14.09,12.33,14.53,1.76,-0.45,1.02,14.0,58.0
3,2011,-3.66,0.59,-3.82,-4.25,0.16,1.07,9.0,28.0
4,2012,13.81,12.04,15.07,1.77,-1.26,0.87,42.0,83.0
5,2013,7.57,14.31,21.02,-6.74,-13.45,0.76,7.0,93.0
6,YTD,6.89,5.81,6.68,1.09,0.21,0.71,41.0,44.0
