,Year,CMTAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,14.85,16.65,12.71,-1.81,2.14,0.25,1.0,29.0
1,2008,-46.88,-45.53,-43.99,-1.36,-2.89,0.25,3.0,78.0
2,2009,34.94,41.45,31.24,-6.5,3.7,0.25,20.0,26.0
3,2010,11.38,11.15,10.24,0.23,1.14,0.25,2.0,37.0
4,2011,-12.65,-13.71,-13.97,1.06,1.32,0.25,95.0,33.0
5,2012,18.8,16.83,18.29,1.97,0.51,0.25,3.0,37.0
6,2013,17.34,15.29,19.44,2.05,-2.1,0.25,6.0,71.0
7,YTD,-2.74,-0.27,-1.63,-2.47,-1.11,0.25,14.0,69.0
