,Year,OEMAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-2.5,7.84,1.98,-10.34,-4.48,1.24,80.0,72.0
1,2012,17.67,4.21,17.95,13.46,-0.27,1.23,93.0,55.0
2,2013,-9.81,-2.02,-7.27,-7.78,-2.54,1.25,130.0,72.0
3,YTD,-0.4,5.87,3.43,-6.27,-3.83,1.25,251.0,82.0
