,Year,FSAEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,34.59,26.46,35.68,8.13,-1.09,0.95,98.0,15.0
1,2010,16.63,15.06,15.53,1.57,1.1,0.88,144.0,15.0
2,2011,-2.79,2.11,-2.46,-4.9,-0.32,0.89,117.0,68.0
3,2012,16.79,16.0,15.34,0.78,1.45,0.87,135.0,22.0
4,2013,33.6,32.39,33.92,1.22,-0.31,0.71,124.0,51.0
5,YTD,12.93,13.98,10.79,-1.04,2.14,0.65,72.0,26.0
