,Year,PTNYX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,9.1,12.04,10.65,-2.95,-1.55,0.81,24.0,84.0
1,2013,0.71,14.31,9.65,-13.59,-8.94,0.73,12.0,98.0
2,YTD,5.96,5.81,5.38,0.16,0.58,0.67,27.0,33.0
