,Year,TGESX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.81,22.0,22.0
1,2009,23.85,41.45,35.27,-17.59,-11.42,0.81,38.0,86.0
2,2010,7.32,11.15,13.74,-3.84,-6.43,0.81,43.0,89.0
3,2011,-6.1,-13.71,-7.93,7.6,1.83,0.81,19.0,35.0
4,2012,24.63,16.83,15.84,7.8,8.79,0.81,45.0,3.0
5,2013,30.43,15.29,25.19,15.14,5.24,0.9,43.0,18.0
6,YTD,-0.03,-0.27,4.54,0.24,-4.57,-4.57,-4.57,86.0
