,Year,OACIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,8.08,12.95,8.16,-4.87,-0.07,0.51,11.0,46.0
1,2007,5.69,8.63,4.53,-2.94,1.16,0.38,5.0,33.0
2,2008,-36.5,-22.19,-18.61,-14.3,-17.89,0.34,10.0,99.0
3,2009,15.79,21.77,20.77,-5.98,-4.98,0.4,14.0,81.0
4,2010,11.16,12.33,10.03,-1.17,1.13,0.5,21.0,32.0
5,2011,1.13,0.59,1.7,0.54,-0.58,0.49,36.0,61.0
6,2012,8.92,12.04,9.4,-3.12,-0.47,0.48,12.0,60.0
7,2013,5.82,14.31,7.23,-8.48,-1.4,0.41,27.0,67.0
8,YTD,5.01,5.81,4.98,-0.8,0.02,0.41,12.0,46.0
