,Year,FFKGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.97,12.33,14.6,2.63,0.37,0.05,20.0,51.0
1,2011,-4.95,0.59,-4.1,-5.54,-0.85,0.05,39.0,73.0
2,2012,14.97,12.04,15.31,2.92,-0.34,0.05,14.0,69.0
3,2013,21.84,14.31,22.0,7.54,-0.15,0.05,27.0,69.0
4,YTD,7.07,5.81,6.65,1.26,0.42,0.05,47.0,39.0
