,Year,FARFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-30.2,-22.19,-18.06,-8.0,-12.14,0.25,8.0,67.0
1,2009,28.59,21.77,18.36,6.82,10.23,0.25,37.0,21.0
2,2010,13.46,12.33,8.94,1.13,4.52,0.25,20.0,21.0
3,2011,-2.35,0.59,1.6,-2.94,-3.95,0.25,15.0,94.0
4,2012,13.5,12.04,9.01,1.46,4.5,0.25,40.0,2.0
5,2013,18.82,14.31,7.36,4.51,11.45,0.25,34.0,2.0
6,YTD,6.46,5.81,5.03,0.65,1.43,0.25,16.0,11.0
