,Year,JSBWX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,9.77,14.31,9.65,-4.54,0.11,0.22,50.0,59.0
1,YTD,6.0,5.81,5.38,0.19,0.62,0.19,75.0,31.0
