,Year,FIPFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.94,12.33,14.53,2.6,0.4,0.04,19.0,48.0
1,2011,-3.27,0.59,-3.82,-3.86,0.55,0.05,11.0,20.0
2,2012,13.47,12.04,15.07,1.43,-1.6,0.08,15.0,87.0
3,2013,19.34,14.31,21.02,5.03,-1.68,0.09,8.0,79.0
4,YTD,7.86,5.81,6.68,2.05,1.18,0.08,24.0,25.0
