,Year,VTIVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,12.89,11.48,12.89,1.41,0.0,0.0,7.0,1.0
1,2005,6.95,7.04,7.65,-0.09,-0.7,-0.7,7.0,100.0
2,2006,15.98,12.95,15.95,3.03,0.03,0.03,3.0,46.0
3,2007,7.47,8.63,6.89,-1.17,0.58,0.58,1.0,41.0
4,2008,-34.56,-22.19,-38.11,-12.37,3.55,3.55,9.0,11.0
5,2009,28.15,21.77,30.88,6.38,-2.73,-2.73,10.0,83.0
6,2010,15.19,12.33,14.6,2.86,0.6,0.6,6.0,40.0
7,2011,-2.51,0.59,-4.1,-3.11,1.59,1.59,16.0,14.0
8,2012,15.58,12.04,15.31,3.54,0.27,0.27,7.0,43.0
9,2013,24.37,14.31,22.0,10.06,2.37,2.37,10.0,26.0
10,YTD,8.22,5.81,6.65,2.41,1.57,1.57,7.0,17.0
