,Year,VTHRX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,,13.0,13.0
1,2007,7.49,8.63,6.5,-1.14,0.99,0.99,4.0,39.0
2,2008,-32.91,-22.19,-36.04,-10.71,3.13,3.13,6.0,18.0
3,2009,26.72,21.77,28.87,4.95,-2.15,-2.15,13.0,74.0
4,2010,14.43,12.33,13.47,2.1,0.96,0.96,9.0,33.0
5,2011,-1.27,0.59,-2.26,-1.86,0.98,0.98,19.0,22.0
6,2012,14.24,12.04,13.59,2.2,0.65,0.65,4.0,38.0
7,2013,20.49,14.31,16.65,6.18,3.83,3.83,14.0,25.0
8,YTD,8.0,5.81,6.17,2.19,1.83,1.83,7.0,5.0
