,Year,FLCEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-35.75,-37.0,-37.79,1.25,2.05,0.45,4.0,26.0
1,2009,23.25,26.46,28.17,-3.21,-4.92,0.45,72.0,77.0
2,2010,12.23,15.06,14.01,-2.84,-1.78,0.45,84.0,74.0
3,2011,4.73,2.11,-1.27,2.62,6.0,0.45,64.0,7.0
4,2012,14.85,16.0,14.96,-1.15,-0.11,0.45,104.0,58.0
5,2013,34.29,32.39,31.5,1.9,2.79,0.45,85.0,25.0
6,YTD,14.15,13.98,11.28,0.18,2.87,0.45,125.0,15.0
