,Year,FGILX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.17,33.0,33.0
1,2013,25.37,15.29,25.19,10.09,0.18,1.19,66.0,50.0
2,YTD,7.45,-0.27,4.54,7.72,2.91,2.91,2.91,20.0
