,Year,FTMAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,4.95,12.04,10.74,-7.09,-5.79,0.49,27.0,89.0
1,2013,5.08,14.31,10.07,-9.23,-4.99,0.59,46.0,73.0
2,YTD,-1.89,5.81,3.26,-7.69,-5.15,0.71,40.0,91.0
