,Year,PEHAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.76,0.76,0.76
1,2009,26.87,21.77,28.87,5.1,-2.0,0.93,233.0,72.0
2,2010,10.21,12.33,13.47,-2.13,-3.26,1.05,9.0,96.0
3,2011,-0.66,0.59,-2.26,-1.25,1.6,1.04,3.0,13.0
4,2012,10.67,12.04,13.59,-1.38,-2.92,0.86,21.0,92.0
5,2013,5.0,14.31,16.65,-9.31,-11.65,0.73,3.0,93.0
6,YTD,6.44,5.81,6.17,0.63,0.27,0.68,29.0,43.0
