,Year,PAGEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.15,0.0,0.0
1,2009,33.46,29.99,37.01,3.47,-3.55,1.15,12.0,76.0
2,2010,22.99,11.76,17.22,11.23,5.77,1.15,6.0,6.0
3,2011,-4.73,-5.54,-10.1,0.81,5.36,1.15,8.0,11.0
4,2012,28.32,15.83,31.78,12.5,-3.46,1.15,4.0,62.0
5,2013,1.26,26.68,2.92,-25.42,-1.66,1.15,23.0,84.0
6,YTD,14.88,6.66,12.2,8.22,2.68,2.68,2.68,25.0
