,Year,FSGFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-0.42,2.11,-2.46,-2.53,2.04,0.45,47.0,32.0
1,2012,13.71,16.0,15.34,-2.29,-1.63,0.36,49.0,65.0
2,2013,35.78,32.39,33.92,3.39,1.86,0.37,73.0,29.0
3,YTD,12.15,13.98,10.79,-1.83,1.36,0.31,39.0,35.0
