,Year,FIOFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.71,12.33,14.6,2.38,0.12,0.04,24.0,59.0
1,2011,-2.76,0.59,-4.1,-3.35,1.34,0.05,11.0,20.0
2,2012,13.2,12.04,15.31,1.15,-2.11,0.09,15.0,93.0
3,2013,19.12,14.31,22.0,4.82,-2.88,0.09,7.0,87.0
4,YTD,7.85,5.81,6.65,2.05,1.2,0.08,22.0,22.0
