,Year,FCNVX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.3,18.0,18.0
1,2012,1.48,4.21,1.99,-2.74,-0.51,0.3,31.0,53.0
2,2013,0.72,-2.02,0.49,2.74,0.23,0.3,47.0,25.0
3,YTD,0.38,5.87,0.49,-5.49,-0.11,0.3,66.0,58.0
