,Year,FEWPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,20.25,14.31,19.97,5.94,0.27,0.1,1.0,65.0
1,YTD,6.89,5.81,6.5,1.09,0.4,0.1,54.0,40.0
