,Year,TBOAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,5.26,5.24,-1.57,0.02,6.83,1.05,15.0,19.0
1,2009,17.27,5.93,13.12,11.34,4.15,1.02,75.0,29.0
2,2010,12.79,6.54,6.35,6.25,6.44,1.04,9.0,6.0
3,2011,-1.3,7.84,3.39,-9.14,-4.7,1.04,17.0,93.0
4,2012,13.1,4.21,8.09,8.89,5.01,1.04,34.0,11.0
5,2013,-0.33,-2.02,-2.62,1.69,2.29,1.04,44.0,24.0
6,YTD,-0.16,5.87,2.75,-6.02,-2.9,1.04,33.0,85.0
