,Year,JFFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.29,19.0,19.0
1,2013,22.75,14.31,23.14,8.44,-0.39,0.29,17.0,66.0
2,YTD,8.53,5.81,6.74,2.73,1.79,0.29,49.0,14.0
