,Year,LIVIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.24,0.24,0.24
1,2012,16.77,12.04,15.52,4.73,1.26,0.24,8.0,12.0
2,2013,22.91,14.31,23.14,8.6,-0.24,0.2,15.0,62.0
3,YTD,8.65,5.81,6.74,2.84,1.91,1.91,1.91,13.0
