,Year,FBLEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,31.77,32.39,31.21,-0.62,0.56,0.7,44.0,44.0
1,YTD,13.48,13.98,10.25,-0.5,3.23,0.75,66.0,8.0
