,Year,CEMAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.47,11.0,11.0
1,2012,2.53,12.04,3.87,-9.52,-1.34,1.48,154.0,57.0
2,2013,1.65,14.31,4.16,-12.66,-2.52,1.77,62.0,65.0
3,YTD,-3.49,5.81,2.17,-9.3,-5.66,1.68,142.0,91.0
