,Year,CMCPX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.81,78.0,78.0
1,2013,-1.72,-2.02,-1.42,0.3,-0.3,0.79,213.0,52.0
2,YTD,5.16,5.87,5.34,-0.7,-0.18,0.8,207.0,63.0
