,Year,FINWX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.0,119.0,119.0
1,2013,-3.65,-2.02,-2.62,-1.62,-1.03,1.0,223.0,63.0
2,YTD,-2.01,5.87,2.75,-7.88,-4.76,-4.76,-4.76,92.0
