,Year,FWPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-9.24,-13.71,-7.93,4.46,-1.31,1.33,72.0,59.0
1,2012,15.49,16.83,15.84,-1.34,-0.35,1.37,63.0,55.0
2,2013,26.61,15.29,25.19,11.33,1.42,1.35,67.0,42.0
3,YTD,2.93,-0.27,4.54,3.2,-1.61,-1.61,-1.61,69.0
