,Year,BACPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,7.94,8.63,4.53,-0.69,3.41,0.44,9.0,9.0
1,2008,-21.69,-22.19,-18.61,0.5,-3.08,0.51,46.0,46.0
2,2009,22.54,21.77,20.77,0.77,1.77,0.52,80.0,80.0
3,2010,12.48,12.33,10.03,0.14,2.44,0.53,49.0,49.0
4,2011,0.99,0.59,1.7,0.4,-0.71,0.78,144.0,144.0
5,2012,11.66,12.04,9.4,-0.39,2.26,0.87,48.0,48.0
6,2013,11.86,14.31,7.23,-2.45,4.63,0.75,45.0,45.0
7,YTD,6.49,5.81,4.98,0.68,1.51,0.67,46.0,18.0
