,Year,JCIAX_Returns,BofAML USD LIBOR 3 Mon CM,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,1.75,56.0,56.0
1,2008,-0.23,3.82,-2.38,-4.05,2.15,1.14,68.0,43.0
2,2009,7.72,0.99,-1.73,6.72,9.45,1.1,71.0,73.0
3,2010,5.65,0.33,-0.02,5.32,5.67,0.77,75.0,54.0
4,2011,-0.71,0.27,-3.33,-0.98,2.62,0.77,28.0,90.0
5,2012,3.89,0.51,3.34,3.38,0.56,0.76,91.0,52.0
6,2013,-1.61,0.29,-3.28,-1.89,1.68,0.77,44.0,15.0
7,YTD,-4.81,0.22,-0.77,-5.02,-4.03,-4.03,-4.03,77.0
