,Year,RPICX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.75,14.0,14.0
1,2011,-6.58,-13.71,-13.97,7.13,7.39,0.75,128.0,2.0
2,2012,21.91,16.83,18.29,5.08,3.63,0.75,155.0,11.0
3,2013,24.75,15.29,19.44,9.47,5.32,0.75,148.0,12.0
4,YTD,-0.66,-0.27,-1.63,-0.39,0.97,0.97,0.97,32.0
