,Year,ASBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,4.87,6.97,4.29,-2.09,0.58,0.64,15.0,49.0
1,2008,1.16,5.24,-4.23,-4.08,5.39,0.63,28.0,24.0
2,2009,3.47,5.93,9.3,-2.46,-5.83,0.66,60.0,89.0
3,2010,2.07,6.54,4.11,-4.47,-2.03,0.63,19.0,88.0
4,2011,1.08,7.84,1.66,-6.77,-0.59,0.63,44.0,69.0
5,2012,0.81,4.21,3.67,-3.4,-2.86,0.6,57.0,93.0
6,2013,-0.32,-2.02,0.45,1.7,-0.77,0.6,153.0,79.0
7,YTD,0.65,5.87,1.45,-5.21,-0.8,0.59,257.0,83.0
