,Year,BBSOX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.61,-2.02,0.49,2.63,0.12,0.13,35.0,31.0
1,YTD,0.45,5.87,0.49,-5.42,-0.04,0.1,50.0,52.0
