,Year,FWHBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-1.78,-2.02,-1.42,0.25,-0.35,0.23,190.0,53.0
1,YTD,5.84,5.87,5.34,-0.03,0.49,0.23,87.0,36.0
