,Year,CGIAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,35.16,41.45,31.24,-6.29,3.92,1.16,33.0,24.0
1,2010,8.56,11.15,10.24,-2.59,-1.68,0.98,16.0,36.0
2,2011,-7.56,-13.71,-13.97,6.15,6.41,0.94,31.0,5.0
3,2012,18.81,16.83,18.29,1.98,0.52,1.0,24.0,37.0
4,2013,18.03,15.29,19.44,2.74,-1.41,1.0,37.0,66.0
5,YTD,0.76,-0.27,-1.63,1.03,2.39,0.98,29.0,17.0
