,Year,FGLGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,32.4,32.39,31.5,0.01,0.9,0.77,80.0,41.0
1,YTD,11.04,13.98,11.28,-2.94,-0.24,0.66,53.0,61.0
