,Year,PQDAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,13.63,16.83,15.84,-3.2,-2.21,1.18,21.0,71.0
1,2013,19.93,15.29,25.19,4.64,-5.26,1.18,108.0,76.0
2,YTD,4.29,-0.27,4.54,4.56,-0.25,1.19,95.0,56.0
