,Year,RPIGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.71,0.71,0.71
1,2009,50.15,41.45,35.27,8.7,14.88,0.75,128.0,11.0
2,2010,14.52,11.15,13.74,3.37,0.78,0.75,108.0,37.0
3,2011,-10.28,-13.71,-7.93,3.43,-2.35,0.75,138.0,68.0
4,2012,21.99,16.83,15.84,5.16,6.15,0.75,116.0,9.0
5,2013,20.33,15.29,25.19,5.05,-4.86,0.75,101.0,75.0
6,YTD,10.6,-0.27,4.54,10.87,6.06,6.06,6.06,8.0
