,Year,LIHIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.24,0.24,0.24
1,2012,15.58,12.04,15.31,3.53,0.27,0.22,2.0,44.0
2,2013,20.18,14.31,22.0,5.87,-1.82,0.2,12.0,80.0
3,YTD,8.29,5.81,6.65,2.49,1.64,1.64,1.64,13.0
