,Year,PZRMX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,9.0,12.04,9.45,-3.04,-0.45,1.12,235.0,60.0
1,2013,-9.68,14.31,8.62,-23.99,-18.3,1.12,292.0,97.0
2,YTD,3.22,5.81,3.73,-2.59,-0.51,1.2,80.0,55.0
